code,sector
0119,TEC
0068,TEC
5204,TEC
0191,TEC
5195,TEC
0277,TEC
0246,TEC
5301,TEC
0051,TEC
7204,TEC
8338,TEC
0131,TEC
0152,TEC
0029,TEC
4456,TEC
0154,TEC
0267,TEC
5036,TEC
0278,TEC
0107,TEC
0065,TEC
0090,TEC
0174,TEC
0128,TEC
9377,TEC
0104,TEC
0311,TEC
0208,TEC
7022,TEC
0060,TEC
0041,TEC
5028,TEC
0358,TEC
0023,TEC
0166,TEC
0265,TEC
0010,TEC
5309,TEC
9393,TEC
5161,TEC
0146,TEC
0127,TEC
0111,TEC
9334,TEC
0143,TEC
0036,TEC
0176,TEC
0249,TEC
0075,TEC
5286,TEC
0126,TEC
0112,TEC
0034,TEC
0456,TEC
0113,TEC
0156,TEC
0070,TEC
5011,TEC
0108,TEC
0056,TEC
0020,TEC
5216,TEC
0083,TEC
0026,TEC
0395,TEC
0106,TEC
9008,TEC
0040,TEC
0275,TEC
0290,TEC
7160,TEC
0457,TEC
0006,TEC
0236,TEC
0200,TEC
0202,TEC
5357,TEC
0203,TEC
0117,TEC
0169,TEC
0093,TEC
0050,TEC
0132,TEC
0343,TEC
0145,TEC
9075,TEC
0375,TEC
0118,TEC
0272,TEC
4359,TEC
0005,TEC
0256,TEC
5005,TEC
5292,TEC
0069,TEC
0120,TEC
0097,TEC
0066,TEC
5162,TEC
0319,TEC
0008,TEC
0086,TEC
0094,TEC
0138,TEC
7031,TEL
6399,TEL
6888,TEL
0195,TEL
0173,TEL
6947,TEL
0059,TEL
0382,TEL
0082,TEL
0035,TEL
0147,TEL
0315,TEL
6012,TEL
4502,TEL
5090,TEL
0103,TEL
0092,TEL
0096,TEL
0017,TEL
0172,TEL
0123,TEL
0007,TEL
5332,TEL
0032,TEL
5252,TEL
0386,TEL
0178,TEL
9431,TEL
0259,TEL
0129,TEL
6084,TEL
5031,TEL
4863,TEL
0165,TEL
7218,TRD
5259,TRD
5032,TRD
7117,TRD
7471,TRD
7210,TRD
5209,TRD
7676,TRD
0078,TRD
2062,TRD
5136,TRD
7013,TRD
5078,TRD
5264,TRD
5077,TRD
3069,TRD
5614,TRD
5041,TRD
6254,TRD
4634,TRD
8346,TRD
5272,TRD
8567,TRD
7053,TRD
6521,TRD
5173,TRD
8524,TRD
5140,TRD
5347,TRD
8397,TRD
5246,TRD
5267,TRD
4677,TRD
0299,TRN
0048,TRN
8133,TRN
7187,TRN
0282,TRN
0322,TRN
5352,TRN
5145,TRN
0305,TRN
0080,TRN
5303,TRN
5149,TRN
0199,TRN
0011,UTL
6742,UTL
